Origin,Timestamp,Value
Syrian Arab Republic,2009.9166666662397,0
Afghanistan,2009.9166666662397,4291
Iraq,2009.9166666662397,3096
Lebanon,2009.9166666662397,213
Palestinian,2009.9166666662397,0
Pakistan,2009.9166666662397,1144
Iran,2009.9166666662397,0
Syrian Arab Republic,2009.9999999995698,0
Afghanistan,2009.9999999995698,4057
Iraq,2009.9999999995698,3182
Lebanon,2009.9999999995698,162
Palestinian,2009.9999999995698,0
Pakistan,2009.9999999995698,1034
Iran,2009.9999999995698,0
Syrian Arab Republic,2010.0833333328999,0
Afghanistan,2010.0833333328999,3680
Iraq,2010.0833333328999,2818
Lebanon,2010.0833333328999,147
Palestinian,2010.0833333328999,0
Pakistan,2010.0833333328999,1224
Iran,2010.0833333328999,0
Syrian Arab Republic,2010.16666666623,0
Afghanistan,2010.16666666623,3366
Iraq,2010.16666666623,2588
Lebanon,2010.16666666623,147
Palestinian,2010.16666666623,0
Pakistan,2010.16666666623,1283
Iran,2010.16666666623,0
Syrian Arab Republic,2010.24999999956,0
Afghanistan,2010.24999999956,3042
Iraq,2010.24999999956,2519
Lebanon,2010.24999999956,132
Palestinian,2010.24999999956,0
Pakistan,2010.24999999956,1209
Iran,2010.24999999956,0
Syrian Arab Republic,2010.33333333289,0
Afghanistan,2010.33333333289,3185
Iraq,2010.33333333289,2705
Lebanon,2010.33333333289,132
Palestinian,2010.33333333289,0
Pakistan,2010.33333333289,1487
Iran,2010.33333333289,0
Syrian Arab Republic,2010.4166666662202,0
Afghanistan,2010.4166666662202,3665
Iraq,2010.4166666662202,2848
Lebanon,2010.4166666662202,114
Palestinian,2010.4166666662202,0
Pakistan,2010.4166666662202,1659
Iran,2010.4166666662202,0
Syrian Arab Republic,2010.4999999995503,0
Afghanistan,2010.4999999995503,4083
Iraq,2010.4999999995503,3241
Lebanon,2010.4999999995503,111
Palestinian,2010.4999999995503,0
Pakistan,2010.4999999995503,1530
Iran,2010.4999999995503,0
Syrian Arab Republic,2010.5833333328803,0
Afghanistan,2010.5833333328803,4167
Iraq,2010.5833333328803,3616
Lebanon,2010.5833333328803,128
Palestinian,2010.5833333328803,0
Pakistan,2010.5833333328803,1870
Iran,2010.5833333328803,0
Syrian Arab Republic,2010.6666666662104,0
Afghanistan,2010.6666666662104,4010
Iraq,2010.6666666662104,3487
Lebanon,2010.6666666662104,154
Palestinian,2010.6666666662104,0
Pakistan,2010.6666666662104,2156
Iran,2010.6666666662104,0
Syrian Arab Republic,2010.7499999995405,0
Afghanistan,2010.7499999995405,4004
Iraq,2010.7499999995405,3531
Lebanon,2010.7499999995405,175
Palestinian,2010.7499999995405,0
Pakistan,2010.7499999995405,2032
Iran,2010.7499999995405,0
Syrian Arab Republic,2010.8333333328706,0
Afghanistan,2010.8333333328706,4172
Iraq,2010.8333333328706,3896
Lebanon,2010.8333333328706,146
Palestinian,2010.8333333328706,0
Pakistan,2010.8333333328706,1724
Iran,2010.8333333328706,0
Syrian Arab Republic,2010.9166666662006,0
Afghanistan,2010.9166666662006,4290
Iraq,2010.9166666662006,3849
Lebanon,2010.9166666662006,144
Palestinian,2010.9166666662006,0
Pakistan,2010.9166666662006,1645
Iran,2010.9166666662006,0
Syrian Arab Republic,2010.9999999995307,0
Afghanistan,2010.9999999995307,4289
Iraq,2010.9999999995307,3498
Lebanon,2010.9999999995307,166
Palestinian,2010.9999999995307,0
Pakistan,2010.9999999995307,1954
Iran,2010.9999999995307,0
Syrian Arab Republic,2011.0833333328608,0
Afghanistan,2011.0833333328608,4746
Iraq,2011.0833333328608,3369
Lebanon,2011.0833333328608,138
Palestinian,2011.0833333328608,0
Pakistan,2011.0833333328608,2218
Iran,2011.0833333328608,0
Syrian Arab Republic,2011.1666666661908,0
Afghanistan,2011.1666666661908,4907
Iraq,2011.1666666661908,3104
Lebanon,2011.1666666661908,122
Palestinian,2011.1666666661908,0
Pakistan,2011.1666666661908,2164
Iran,2011.1666666661908,0
Syrian Arab Republic,2011.249999999521,0
Afghanistan,2011.249999999521,5039
Iraq,2011.249999999521,2897
Lebanon,2011.249999999521,150
Palestinian,2011.249999999521,0
Pakistan,2011.249999999521,2318
Iran,2011.249999999521,0
